model_type,model,classification_accuracy,classification_precision,classification_recall,classification_f1,classification_auc,regression_mae,regression_rmse,regression_r2,regression_adjusted_r2
Classification,Logistic Regression,0.8044692737430168,0.7931034482758621,0.6666666666666666,0.7244094488188977,0.8437417654808959,,,,
Classification,Decision Tree,0.7932960893854749,0.8636363636363636,0.5507246376811594,0.672566371681416,0.8292490118577075,,,,
Classification,Random Forest,0.8156424581005587,0.8,0.6956521739130435,0.7441860465116279,0.8300395256916996,,,,
Regression,Multivariate Linear Regression,,,,,,20.809397730838697,30.473145462848713,0.3998999484440189,0.3679419575327536
